,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
379,0.646,,,,,,,,,0.0,,
380,0.647,,0.0,,,,,,,,,
381,0.648,,0.0,,,,,,,,,
382,0.65,,,,,,,,,,,0.0
383,0.651,,,,0.0,,,,,,0.0,
384,0.652,,,,,,0.0,,0.0,,,
385,0.653,,,,,1.0,,,,,,
386,0.654,0.0,,,,,,0.0,,,,
387,0.657,,0.0,,,,,,,,,
388,0.658,,0.0,,,,,,,,,
389,0.661,,,1.0,,,,,,,,
390,0.663,,,,,1.0,,,,,,0.0
391,0.664,0.0,,,,,,,,,,
392,0.666,,,,,,0.0,,,,,
393,0.667,,,,,,,,0.0,,,
394,0.668,,0.0,,,,,,,,,
395,0.669,,,,,,,0.0,,,,
396,0.671,,,,0.0,,,,,,,
397,0.672,,,,,,,,,0.0,,
398,0.674,0.0,,,,,,,,,,
399,0.675,,,,,,,,,,0.0,
400,0.677,,,,,1.0,,,,,,
401,0.679,,0.0,,,,,,,,,
402,0.68,,,,,,0.0,,,,,
403,0.681,,,1.0,,,,,,,,
404,0.682,,,,,,,,,,,0.0
405,0.685,0.0,,,,,,0.0,,,,
406,0.689,,,,,,,,0.0,,,
407,0.69,,,,0.0,,,,,,,
408,0.691,,0.0,,,1.0,,,,,,
409,0.694,,,,,,,,,0.0,,
410,0.695,,,,,,0.0,,,,,0.0
411,0.696,0.0,,,,,,,,,,
412,0.698,,,,,,,,,,0.0,
413,0.699,,,,,,,0.0,,,,
414,0.701,,0.0,1.0,,,,,,,,
415,0.705,,,,,1.0,,,,,,
416,0.706,,,,,1.0,,,,,,
417,0.707,0.0,,,,,,,,,,
418,0.708,,,,,,,,,,,0.0
419,0.709,,,,0.0,,,,,,,
420,0.71,,,,0.0,,,,,,,
421,0.711,,,,,,,,0.0,,,
422,0.712,,0.0,,,,,,,,,
423,0.714,,,,,,0.0,,,,,
424,0.718,0.0,,,,,,0.0,,0.0,,
425,0.719,,,,,1.0,,,,,0.0,
426,0.72,,,,,,,,,,,0.0
427,0.722,,,1.0,,,,,,,,
428,0.723,,0.0,,,,,,,,,
429,0.727,,,,0.0,,,,,,,
430,0.728,,,,0.0,,0.0,,0.0,,,
431,0.729,0.0,,,,,,,,,,
432,0.73,,,,,,,0.0,,,,
433,0.733,,,,,,,,,,,0.0
434,0.734,,0.0,,,,,,,,,
435,0.739,,,,,1.0,,,,,,
436,0.74,,,,,1.0,,,,0.0,,
437,0.741,0.0,,1.0,,,,,,,,
438,0.742,,,,,,,,0.0,,,
439,0.743,,,,,,0.0,,,,,
440,0.745,,,,,,,,,,0.0,0.0
441,0.746,,0.0,,0.0,,,,,,,
442,0.751,0.0,,,,,,0.0,,,,
443,0.753,,,,,1.0,,,,,,
444,0.756,,0.0,,,,,,,,,
445,0.757,,0.0,,,,0.0,,0.0,,,
446,0.758,,,,,,,,,,,0.0
447,0.763,0.0,,,,,,,,,,
448,0.764,,,,,,,,,0.0,,
449,0.765,,,,0.0,,,,,,,
450,0.766,,,,0.0,1.0,,0.0,,,,
451,0.767,,,1.0,,,,,,,,
452,0.768,,0.0,,,,,,,,,
453,0.769,,,,,,,,,,0.0,
454,0.771,,,,,,,,,,,0.0
455,0.774,0.0,,,,,0.0,,,,,
456,0.778,,,,,,,,0.0,,0.0,
457,0.779,,0.0,,,,,0.0,,,,
458,0.78,,,,,1.0,,,,,,
459,0.783,,,,,,,,,,,0.0
460,0.784,0.0,,,,,,,,0.0,,
461,0.788,,,1.0,0.0,,,,,,,
462,0.79,,0.0,,,,,,,,,
463,0.793,,,,,,,0.0,,,,
464,0.795,,,,,,0.0,,,,,
465,0.796,0.0,,,,1.0,,,,,,
466,0.8,,,,,,,,0.0,,0.0,
467,0.801,,0.0,,,,,,,,,
468,0.802,,0.0,,,,,,,,,
469,0.804,,,,,,,,,,,0.0
470,0.807,0.0,,,,,,0.0,,0.0,,
471,0.808,,,1.0,0.0,,0.0,,,0.0,,
472,0.809,,,,0.0,,,,,,,
