,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
285345,513.462,0.0,,,0.0,,,,0.0,,,
285346,513.463,,,,0.0,,,,,,,
285347,513.465,,,,,,,0.0,,,,
285348,513.467,,,,,,1.0,,,,,
285349,513.471,,,0.0,,,,,,,,
285350,513.472,0.0,,,,,,,,,,
285351,513.473,,,,,0.0,,,,,,
285352,513.475,,,,,,,,,,,0.0
285353,513.476,,,,,,,,,0.0,,
285354,513.478,,,,,,,0.0,0.0,,,
285355,513.482,,,,,,1.0,,,,,
285356,513.483,0.0,,,,,,,,,,
285357,513.485,,,,0.0,,,,,,,
285358,513.488,,,0.0,,,,,,,,
285359,513.489,,,,,,,,,,,0.0
285360,513.491,,,,,0.0,,0.0,,,,
285361,513.494,0.0,,,,,,,0.0,,,
285362,513.495,0.0,,,,,,,,,,
285363,513.496,,,,,,1.0,,,,,
285364,513.497,,,,,,,,,0.0,,
285365,513.498,,,,,,,,0.0,,,
285366,513.499,,,,,,,,,,,0.0
285367,513.5,,,,0.0,,,,,,,
285368,513.504,,,,,,,0.0,,,,
285369,513.505,0.0,,0.0,,0.0,,0.0,,,,
285370,513.506,,,0.0,,,,,,,,
285371,513.51,,,,,,1.0,,,,,
285372,513.512,,,,,,,,,,,0.0
285373,513.514,,,,,,,,0.0,,,
285374,513.515,,,,0.0,,,,,,,
285375,513.516,,,,0.0,,,,,,,
285376,513.517,0.0,,,,,,,,,,
285377,513.518,,,,,,,0.0,,,,
285378,513.519,,,,,0.0,,,,,,
285379,513.521,,,,,,,,,0.0,,
285380,513.522,,,,,,,,,0.0,,
285381,513.523,,,0.0,,,,,,,,
285382,513.525,,,,,,1.0,,,,,
285383,513.528,0.0,,,,,,,,,,
285384,513.531,,,,,,,0.0,,,,
285385,513.533,,,,,,,,,,,0.0
285386,513.534,,,,1.0,,,,0.0,,,
285387,513.538,,,,,0.0,,,,,,
285388,513.539,0.0,,,,,1.0,,,,,
285389,513.542,,,0.0,,,,,,0.0,,
285390,513.546,,,,,,,,,,,0.0
285391,513.55,0.0,,,,,,,,,,
285392,513.551,,,,,0.0,,0.0,,,,
285393,513.552,,,,1.0,0.0,,,,,,
285394,513.553,,,,,,,,0.0,,,
285395,513.558,,,,,,,,,,,0.0
285396,513.559,,,,,,1.0,,,,,
285397,513.56,,,0.0,,,,,,,,
285398,513.561,0.0,,,,,,,,,,
285399,513.564,,,,,,,,,0.0,,
285400,513.566,,,,,,,0.0,,,,
285401,513.568,,,,,0.0,,,0.0,,,
285402,513.569,,,,,0.0,,,,,,
285403,513.571,,,,,,,,,,,0.0
285404,513.572,0.0,,,,,,,,,,0.0
285405,513.573,,,,1.0,,,,,,,
285406,513.574,,,,1.0,,1.0,,,,,
285407,513.577,,,0.0,,,,,,,,
285408,513.58,,,,,,,0.0,,,,
285409,513.582,,,,,1.0,,,,,,
285410,513.583,0.0,,,,,,,,,,
285411,513.584,,,,,,,,,0.0,,0.0
285412,513.59,,,,,,,,0.0,,,
285413,513.592,,,,,,,0.0,,,,
285414,513.593,,,,,,1.0,,,,,
285415,513.595,0.0,,,,,,,,,,
285416,513.597,,,0.0,,,,,,,,0.0
285417,513.598,,,,1.0,,,,,,,
285418,513.602,,,,,1.0,,,,,,
285419,513.605,0.0,,,,,,,,,,
285420,513.606,,,,,,,0.0,,,,
285421,513.607,,,,,,0.0,,,0.0,,
285422,513.608,,,,,,0.0,,0.0,,,
285423,513.609,,,,,,,,,,,0.0
285424,513.616,,,,1.0,,,,,,,
285425,513.617,0.0,,,,1.0,,,,,,
285426,513.619,,,,,,,0.0,,,,
285427,513.62,,,0.0,,,,,,,,
285428,513.621,,,,,,0.0,,,,,0.0
285429,513.622,,,,,,0.0,,,,,
285430,513.624,,,,,,,,0.0,,,
285431,513.628,0.0,,,,,,,,0.0,,
285432,513.63,,,,,1.0,,,,,,
285433,513.632,,,,1.0,,,0.0,,,,
285434,513.634,,,,,,,,,,,0.0
285435,513.635,,,,,,0.0,,,,,
285436,513.639,0.0,,,,,,,,,,
285437,513.642,,,0.0,,,,,,,,
285438,513.643,,,0.0,,,,,,,,
285439,513.645,,,,,1.0,,,0.0,,,
285440,513.646,,,,,1.0,,,,,,
285441,513.649,,,,,,,,,0.0,,
285442,513.65,,,,,,0.0,,,0.0,,
285443,513.651,0.0,,,1.0,,,0.0,,,,
285444,513.653,,,,,,,,,,,0.0
285445,513.66,,,0.0,,1.0,,,,,,
285446,513.661,0.0,,,,1.0,,,,,,
285447,513.663,,,,,,,,0.0,,,
285448,513.664,,,,,,,0.0,,,,
285449,513.665,,,,,,,,,,,0.0
285450,513.666,,,,1.0,,,,,,,0.0
285451,513.667,,,,1.0,,,,,,,
285452,513.669,,,,,,,,,0.0,,
285453,513.67,,,,,,0.0,,,,,
285454,513.672,0.0,,,,,,,,,,
285455,513.677,,,0.0,,,,,,,,
285456,513.678,,,,,,,,0.0,,,
285457,513.679,,,,,1.0,,,,,,0.0
285458,513.68,,,,,1.0,,,,,,
285459,513.681,,,,,,,0.0,,,,
285460,513.682,,,,1.0,,,,,,,
285461,513.683,0.0,,,,,,,,,,
285462,513.684,,,,,,0.0,,,,,
285463,513.69,,,,,,,,,0.0,,
285464,513.691,,,,,,,,,,,0.0
285465,513.692,,,,,,,,0.0,,,
285466,513.695,0.0,,,,1.0,,0.0,,,,
285467,513.698,,,,1.0,,,,,,,
285468,513.699,,,0.0,,,,,,,,
285469,513.703,,,,,,0.0,,,,,
285470,513.706,0.0,,,,1.0,,,,,,
285471,513.707,,,,,,,0.0,,,,
285472,513.709,,,,,,,,,,,0.0
285473,513.712,,,,,,,,0.0,,,
285474,513.715,,,,,,,,,0.0,,
285475,513.717,0.0,,,,,0.0,,,,,
285476,513.718,,,,1.0,,,,,,,
285477,513.72,,,,,,,0.0,,,,
285478,513.721,,,0.0,,1.0,,,,,,0.0
285479,513.727,,,,,,,,0.0,,,
285480,513.728,0.0,,,,,,,,,,
285481,513.732,,,,,,0.0,,,,,
285482,513.737,,,,,1.0,,,,0.0,,
285483,513.738,,,0.0,,,,,,,,
285484,513.739,0.0,,,,,,,,,,
285485,513.74,,,,1.0,,,0.0,,,,
285486,513.742,,,,,,,,,,,0.0
285487,513.745,,,,,,0.0,,0.0,,,
285488,513.749,0.0,,,,,,,,,,
285489,513.752,,,,,,,0.0,,,,
285490,513.753,,,,,1.0,,,,,,
285491,513.754,,,,,1.0,,,,,,
285492,513.755,,,0.0,,,,,,,,0.0
285493,513.756,,,,0.0,,,,,,,0.0
285494,513.759,,,,,,0.0,,,0.0,,
285495,513.761,,,,,,,,0.0,,,
285496,513.762,0.0,,,,,,,,,,
285497,513.765,,,,,,,0.0,,,,
285498,513.769,,,,,1.0,,,,,,
285499,513.772,,,,0.0,,,,,,,
285500,513.774,,,0.0,,,0.0,,0.0,,,
285501,513.775,,,,,,0.0,,,,,
285502,513.776,,,,,,,,,,,0.0
285503,513.78,,,,,,,0.0,,0.0,,
285504,513.781,0.0,,,,,,,,,,
285505,513.783,,,,,1.0,,,,,,
285506,513.784,,,,,1.0,,,,,,
285507,513.788,,,,0.0,,,,,,,0.0
285508,513.789,,,,0.0,,,,0.0,,,
285509,513.792,,,,,,0.0,,,,,
285510,513.793,,,,,,,0.0,,,,
285511,513.794,0.0,,,,,,,,,,
285512,513.797,,,0.0,,,,,,,,
285513,513.8,,,,,,,,,,,0.0
285514,513.803,,,,,1.0,,,,,,
285515,513.804,,,,,,,,0.0,0.0,,
285516,513.805,0.0,,,,,0.0,,,,,
285517,513.806,,,,0.0,,,0.0,,,,
285518,513.813,,,,,,,,,,,0.0
285519,513.817,0.0,,,,1.0,,,,,,
285520,513.818,,,,,1.0,,,,,,
285521,513.82,,,0.0,,,,,,,,
285522,513.821,,,,,,,0.0,,,,
285523,513.823,,,,0.0,,,,0.0,,,
285524,513.825,,,,,,0.0,,,,,0.0
285525,513.827,,,,,,,,,0.0,,
285526,513.828,0.0,,,,,,,,,,
285527,513.834,,,,,1.0,,,,,,
285528,513.838,,,0.0,,,,,,,,0.0
285529,513.839,,,,0.0,,0.0,,0.0,,,
285530,513.84,,,,,,,0.0,,,,
285531,513.841,0.0,,,,,,,,,,
285532,513.848,,,,,,,,,0.0,,
285533,513.849,,,,,1.0,,,,,,
285534,513.851,0.0,,,,,,,,,,0.0
285535,513.853,,,,,,,0.0,,,,
285536,513.854,,,,0.0,,,,,,,
285537,513.855,,,0.0,,,0.0,,,,,
285538,513.856,,,,,,,,0.0,,,
285539,513.857,,,,,,,,0.0,,,
285540,513.861,0.0,,,,,,,,,,
285541,513.863,,,,,,,,,,,0.0
285542,513.869,,,,,1.0,,,,,,
285543,513.87,,,,,,0.0,,,0.0,,
285544,513.871,,,0.0,,,,,,,,
285545,513.872,0.0,,0.0,,,,,0.0,,,
285546,513.874,,,,0.0,,,0.0,,,,
285547,513.876,,,,,,,,,,,0.0
285548,513.883,,,,,1.0,,,,,,
285549,513.884,,,,,,0.0,,,,,
285550,513.886,0.0,,,,,,,,,,
285551,513.887,0.0,,,,,,,,,,
285552,513.888,,,,,,,,0.0,,,0.0
285553,513.889,,,,,,,0.0,,,,0.0
285554,513.89,,,0.0,,,,,,,,
285555,513.893,,,,,,,,,0.0,,
285556,513.896,,,,0.0,,,,,,,
285557,513.899,0.0,,,,,,,,,,
285558,513.902,,,,,,,0.0,,,,
285559,513.903,,,,,1.0,,,0.0,,,
285560,513.904,,,,,,0.0,,,,,
285561,513.908,,,0.0,,,,,,,,0.0
285562,513.911,,,,0.0,,,,,,,
285563,513.912,0.0,,,,,,,,,,
285564,513.915,,,,,,,0.0,,0.0,,
285565,513.918,,,,,1.0,,,,,,
285566,513.92,,,,,,0.0,,,,,0.0
285567,513.921,0.0,,,,,,,,,,0.0
285568,513.924,,,,,,,,0.0,,,
285569,513.926,,,,0.0,,,,,,,
285570,513.927,,,0.0,,,,,,,,
285571,513.929,,,,,,,0.0,,,,
285572,513.93,0.0,,,,,,,,,,
285573,513.933,,,,,,,,,,,0.0
285574,513.935,,,,,1.0,,,,0.0,,
285575,513.936,,,,,1.0,0.0,,,,,
285576,513.937,,,,,,0.0,,,,,
285577,513.939,,,,,,,,0.0,,,
285578,513.94,0.0,,,,,,,,,,
285579,513.941,,,,0.0,,,,,,,
285580,513.942,,,,0.0,,,0.0,,,,
285581,513.943,,,0.0,,,,,,,,
285582,513.945,,,,,,,,,,,0.0
285583,513.95,0.0,,,,,0.0,,,,,
285584,513.951,,,,,1.0,,,,,,
285585,513.956,,,,,,,,0.0,,,
285586,513.958,,,,,,,,,0.0,,0.0
285587,513.961,0.0,,0.0,,,,,,,,
285588,513.962,,,,0.0,,,0.0,,,,
285589,513.964,,,,,,1.0,,,,,
285590,513.966,,,,,,,,,0.0,,
285591,513.967,,,,,,,,,0.0,,
285592,513.971,,,,,,,,0.0,,,
285593,513.973,0.0,,,,1.0,,,,,,0.0
285594,513.976,,,,,,,0.0,,,,
285595,513.978,,,0.0,,,,,,,,
285596,513.979,,,,,,1.0,,,,,
285597,513.983,0.0,,,,,,,,,,
285598,513.985,,,,0.0,,,,,,,
285599,513.986,,,,,,,,0.0,,,0.0
285600,513.987,,,,,1.0,,,,,,
285601,513.991,,,,,,,,,0.0,,
285602,513.992,,,,,,,,,0.0,,
285603,513.994,,,,,,1.0,,,,,
285604,513.995,0.0,,,,,,,,,,
285605,513.997,,,,,,,0.0,,,,
285606,513.998,,,1.0,,,,,,,,0.0
285607,513.999,,,,,,,,,,,0.0
285608,514.0,,,,0.0,,,,,,,
285609,514.001,,,,,1.0,,,,,,
285610,514.002,,,,,,,,0.0,,,
285611,514.005,0.0,,,,,,,,,,
285612,514.007,,,,,,1.0,,,,,
285613,514.011,,,,,,,,,,,0.0
285614,514.014,,,,,,,0.0,,1.0,,
285615,514.015,,,1.0,0.0,1.0,,,,,,
285616,514.017,0.0,,,,,,,,,,
285617,514.019,,,,,,,,0.0,,,
285618,514.025,,,,,,1.0,,,,,
285619,514.027,0.0,,,,,,0.0,,,,
285620,514.028,0.0,,,,,,,,,,
285621,514.029,,,,,1.0,,,,,,
285622,514.03,,,,0.0,1.0,,,,,,
285623,514.031,,,,,,,,,,,0.0
285624,514.033,,,1.0,,,,,,,,
285625,514.034,,,,,,1.0,,,1.0,,
285626,514.035,,,,,,,,0.0,,,
285627,514.039,0.0,,,,,,,,,,
285628,514.041,,,,,,,0.0,,,,
285629,514.043,,,,,,,,,,,0.0
285630,514.044,,,,,1.0,,,,,,
285631,514.047,,,,,,1.0,,,,,
285632,514.049,0.0,,,,,,,,,,
285633,514.051,,,1.0,0.0,,,,,,,
285634,514.055,,,,,,,0.0,,,,
285635,514.056,,,,,,,,0.0,,,0.0
285636,514.058,,,,,1.0,,,,,,
285637,514.061,,,,,,,,,1.0,,
285638,514.062,0.0,,,,,,,,,,
285639,514.064,,,,,,1.0,,,,,
285640,514.066,,,,0.0,,,,,,,
285641,514.067,,,,0.0,,,,,,,
285642,514.068,,,1.0,,,,,,,,0.0
285643,514.071,,,,,,,,0.0,,,
285644,514.072,0.0,,,,1.0,,,,,,
285645,514.073,,,,,1.0,,,,,,
285646,514.074,,,,,,,0.0,,,,
285647,514.081,,,,,,,,,,,0.0
285648,514.082,,,,,,1.0,,,1.0,,0.0
285649,514.083,0.0,,,,,,,,,,
285650,514.084,,,,0.0,,,,,,,
285651,514.086,,,,,,,,0.0,,,
285652,514.088,,,1.0,,,,0.0,,,,
285653,514.093,,,,,1.0,,,,,,
285654,514.094,,,,,1.0,,,,,,0.0
285655,514.095,0.0,,,,,,,,,,
285656,514.099,,,,,,1.0,,,,,
285657,514.1,,,,0.0,,,,,,,
285658,514.102,,,,,,,,0.0,,,
285659,514.104,,,1.0,,,,,,,,
285660,514.105,,,1.0,,,,,,0.0,,
285661,514.106,0.0,,,,,,,,,,0.0
285662,514.107,,,,,1.0,,0.0,,,,
285663,514.114,,,,,,1.0,,,,,
285664,514.116,0.0,,,,,,,,,,
285665,514.118,,,,0.0,,,,,,,
285666,514.119,,,,,,,,,,,0.0
285667,514.12,,,,,,,,,,,0.0
285668,514.121,,,1.0,,1.0,,0.0,,,,
285669,514.123,,,,,,,,0.0,,,
285670,514.125,,,,,,,,,0.0,,
285671,514.128,0.0,,,,,,,,,,
285672,514.129,,,,,,1.0,,,,,
285673,514.132,,,,,,,,,,,0.0
285674,514.134,,,,,,,0.0,,,,
285675,514.135,,,,0.0,1.0,,,,,,
285676,514.138,,,1.0,,,,,0.0,,,
285677,514.139,0.0,,,,,,,,,,
285678,514.147,0.0,,,,,1.0,,,,,
285679,514.148,,,,,,1.0,0.0,,,,
285680,514.149,,,,,,,,,0.0,,
285681,514.151,,,,0.0,1.0,,,,,,
285682,514.152,,,,,,,,,,,0.0
285683,514.156,,,1.0,,,,,,,,
285684,514.157,,,,,,,,0.0,,,
285685,514.159,0.0,,,0.0,,,,,,,
285686,514.162,,,,,,,0.0,,,,
285687,514.164,,,,,,1.0,,,,,
285688,514.165,,,,,,1.0,,,,,0.0
285689,514.168,0.0,,,,1.0,,,,,,
285690,514.169,,,,,1.0,,,,,,
285691,514.171,,,,,,,,,0.0,,
285692,514.173,,,,,,,,0.0,,,
285693,514.175,,,1.0,,,,,,,,
285694,514.176,,,,0.0,,,,,,,
285695,514.178,0.0,,,,,,,,,,0.0
285696,514.179,,,,,,,0.0,,,,0.0
285697,514.181,,,,,,1.0,,,,,
285698,514.182,,,,,,1.0,,,,,
285699,514.183,,,,,1.0,,,,,,
285700,514.186,0.0,,,,,,,,,,
285701,514.188,,,,,,,,0.0,,,
285702,514.191,,,,0.0,,,,,,,
285703,514.192,,,,0.0,,,,,,,
285704,514.193,,,1.0,,,,,,0.0,,
285705,514.195,,,,,,1.0,,,,,
285706,514.196,0.0,,,,,,,,,,
285707,514.197,,,,,,,0.0,,,,0.0
285708,514.198,,,,,1.0,,,,,,
285709,514.205,0.0,,,,,,,0.0,,,
285710,514.206,,,,0.0,,,,,,,
285711,514.209,,,,,,1.0,,,,,
285712,514.21,,,,,,,0.0,,,,0.0
285713,514.212,,,1.0,,1.0,,,,,,
285714,514.213,,,,,,,,,0.0,,
285715,514.217,0.0,,,,,,,,,,
285716,514.22,,,1.0,,,,,,,,
285717,514.222,,,,0.0,,,,,,,0.0
285718,514.224,,,,,,,,0.0,,,
285719,514.225,,,,,,1.0,,,,,
285720,514.227,0.0,,,,,,,,,,
285721,514.228,,,,,1.0,,,,,,
285722,514.229,,,,,1.0,,0.0,,,,
285723,514.235,,,,,,,,,,,0.0
285724,514.238,,,1.0,,,,,,,,
285725,514.239,0.0,,,,,1.0,,0.0,,,
285726,514.24,,,,0.0,,,,,0.0,,
285727,514.242,,,,,,,0.0,,,,
285728,514.246,,,,,1.0,,,,,,
285729,514.247,,,,,1.0,,,,,,0.0
285730,514.248,,,,,,,,,,,0.0
285731,514.25,0.0,,,,,,,,,,
285732,514.255,,,0.0,,,,,,,,
285733,514.256,,,0.0,,,,0.0,,,,
285734,514.257,,,,,,,,0.0,,,
285735,514.259,,,,,,1.0,,,,,
285736,514.26,,,,,1.0,,,,0.0,,
285737,514.261,0.0,,,,,,,,,,0.0
285738,514.263,,,,0.0,,,,,,,
285739,514.272,0.0,,,,,,,0.0,,,
285740,514.273,,,,,,,,,,,0.0
285741,514.274,,,,,1.0,,,,,,
285742,514.275,,,0.0,,,1.0,,,,,
285743,514.278,,,,0.0,,,0.0,,,,
285744,514.279,,,,,,,0.0,,,,
285745,514.281,,,,,,,,,0.0,,
285746,514.283,0.0,,,,,,,,,,
285747,514.285,,,,,,,,,,,0.0
285748,514.287,,,,,,,,0.0,,,
285749,514.288,,,,,1.0,,,,,,
285750,514.292,,,,,,1.0,,,,,
285751,514.294,,,0.0,0.0,,,0.0,,,,
285752,514.295,0.0,,,,,,,,,,
285753,514.298,,,,,,,,,,,0.0
285754,514.299,,,,,,,,,,,0.0
285755,514.301,,,,,1.0,,,,,,
285756,514.303,,,,,,,,0.0,,,
285757,514.306,,,,,,1.0,,,,,
285758,514.307,,,,,,1.0,,,0.0,,
285759,514.308,,,,,,,0.0,,,,
285760,514.309,,,,0.0,,,,,,,
285761,514.311,,,0.0,,,,,,,,
285762,514.314,0.0,,,,,,,,,,
285763,514.315,,,,,1.0,,,,,,
285764,514.316,,,,,,,,,,,0.0
285765,514.321,,,,,,1.0,,,,,
285766,514.323,0.0,,,,,,,,,,0.0
285767,514.324,,,,,,,0.0,0.0,,,
285768,514.328,,,0.0,0.0,,,,,,,
285769,514.329,,,,0.0,,,,,0.0,,
285770,514.331,0.0,,,,,,,,,,
285771,514.333,,,,,,,,0.0,,,
285772,514.335,,,,,,1.0,,,,,
285773,514.336,,,,,1.0,,,,,,
285774,514.337,,,,,1.0,,,,,,
285775,514.338,,,,,,,,,,,0.0
285776,514.341,0.0,,,,,,0.0,,,,
285777,514.346,,,0.0,,,,,,,,
285778,514.349,,,,,,1.0,,,,,
285779,514.35,0.0,,,,,,,0.0,1.0,,
285780,514.351,,,,0.0,,,,,,,0.0
285781,514.353,,,,,1.0,,,,,,
285782,514.354,,,,,,,0.0,,,,
285783,514.363,,,,,,,,,,,0.0
285784,514.364,,,0.0,,,,,,,,
285785,514.365,0.0,,,,,,,,,,
285786,514.367,,,,0.0,,,,,,,
285787,514.368,,,,,1.0,1.0,,0.0,,,
285788,514.369,,,,,1.0,,0.0,,,,
285789,514.372,,,,,,,,,1.0,,
285790,514.375,0.0,,,,,,,,,,
285791,514.376,,,,,,,,,,,0.0
285792,514.381,,,0.0,,,,,,,,
285793,514.382,,,,0.0,,,,,,,
285794,514.383,,,,0.0,,1.0,,,,,
285795,514.384,0.0,,,,1.0,,0.0,,,,
285796,514.385,,,,,1.0,,,,,,
285797,514.387,,,,,,,,0.0,,,
285798,514.388,,,,,,,,,,,0.0
285799,514.389,,,,,,,,,,,0.0
285800,514.393,,,,,,,,,1.0,,
285801,514.395,0.0,,,,,,,,,,
285802,514.398,,,0.0,0.0,,,0.0,,,,
285803,514.399,,,,,1.0,,,,,,
285804,514.404,,,,,,1.0,,,,,
285805,514.405,,,,,,,,0.0,,,
285806,514.406,0.0,,,,,,,,,,
285807,514.408,,,,,,,,,,,0.0
285808,514.416,,,0.0,,,,,,,,
285809,514.417,0.0,,,,1.0,,,,,,
285810,514.418,,,,0.0,,,0.0,,,,
285811,514.419,,,,,,1.0,,,,,
285812,514.42,,,,,,1.0,,,,,
285813,514.421,,,,,,,,,,,0.0
285814,514.422,,,,,,,,,1.0,,
285815,514.423,,,,,,,,,1.0,,
285816,514.43,,,,,,,,0.0,,,
285817,514.431,0.0,,,,,,0.0,,,,
285818,514.433,,,,,,,,,,,0.0
285819,514.434,,,,,,1.0,,,,,
285820,514.435,,,,,1.0,,,,,,
285821,514.436,,,,,1.0,,,,,,
285822,514.437,,,0.0,,,,,,,,
285823,514.44,0.0,,,0.0,,,,,,,
285824,514.444,,,,,,,,0.0,,,
285825,514.446,,,,,,,,,,,0.0
285826,514.448,,,,,,1.0,,,,,
285827,514.449,0.0,,,,,,,,,,
285828,514.451,,,,,1.0,,0.0,,,,
285829,514.456,,,,0.0,,,,,,,
285830,514.458,,,,,,,,0.0,,,
285831,514.459,,,,,,,,,,,0.0
285832,514.462,0.0,,,,,1.0,,,,,
285833,514.464,,,,,,,0.0,,,,
285834,514.465,,,0.0,,,,,,1.0,,
285835,514.468,,,,,1.0,,,,,,
285836,514.472,0.0,,,,,,,,,,
285837,514.474,,,,0.0,,,,,,,0.0
285838,514.477,,,,,,,0.0,,,,
285839,514.479,,,,,,,,0.0,,,
285840,514.481,,,0.0,,,,,,,,
285841,514.482,,,,,1.0,1.0,,,,,
285842,514.483,0.0,,,,,,,,,,
285843,514.486,,,,,,,,,,,0.0
285844,514.49,,,,0.0,,,,,0.0,,
285845,514.491,,,,,,,0.0,,,,
285846,514.492,,,,,,,0.0,,,,
285847,514.493,,,,,,,,0.0,,,
285848,514.495,0.0,,,,1.0,1.0,,,,,
285849,514.496,,,,,1.0,,,,,,
285850,514.498,,,0.0,,,,,,,,0.0
285851,514.505,0.0,,,,,,0.0,,,,
285852,514.506,,,,0.0,,,,,,,
285853,514.507,,,,0.0,,,,,,,
285854,514.509,,,,,1.0,,,,,,
285855,514.51,,,,,1.0,,,,,,
285856,514.511,,,,,,,,,,,0.0
285857,514.512,,,,,,,,0.0,,,
285858,514.514,,,,,,1.0,,,,,
285859,514.516,,,,,,,,,0.0,,
285860,514.517,0.0,,,,,,,,0.0,,
285861,514.518,,,,,,,0.0,,,,
285862,514.521,,,1.0,,,,,,,,
285863,514.523,,,,,1.0,,,,,,
285864,514.527,0.0,,,,,,,,,,
285865,514.528,,,,,,1.0,,,,,
285866,514.53,,,,,,,,0.0,,,0.0
285867,514.533,,,,0.0,,,0.0,,,,
285868,514.538,,,,,,,,,0.0,,
285869,514.539,0.0,,,,,,,,,,
285870,514.54,,,,,1.0,,,,,,
285871,514.542,,,1.0,,,1.0,,,,,
285872,514.543,,,,,,,,,,,0.0
285873,514.544,,,,,,,,0.0,,,
285874,514.55,0.0,,,,,,,,,,
285875,514.551,,,,0.0,,,0.0,,,,
285876,514.555,,,,,,,,,,,0.0
285877,514.556,,,,,1.0,,,,,,
285878,514.557,,,,,1.0,,,,,,
285879,514.558,,,,,,1.0,,0.0,,,
285880,514.559,,,1.0,,,1.0,,,,,
285881,514.56,,,,,,,,,0.0,,
285882,514.561,0.0,,,,,,,,,,
285883,514.565,,,,0.0,,,0.0,,,,
285884,514.566,,,,0.0,,,,,,,
285885,514.569,,,,,,,,,,,0.0
285886,514.571,,,,,1.0,,,,,,
285887,514.572,0.0,,,,,,,,,,
285888,514.573,,,,,,1.0,,,,,
285889,514.577,,,1.0,,,,,,,,
285890,514.579,,,,,,,,0.0,,,
285891,514.58,,,,,,,0.0,,0.0,,
285892,514.581,,,,,,,,,0.0,,
285893,514.582,,,,,,,,,,,0.0
285894,514.583,0.0,,,,,,,,,,
285895,514.585,,,,0.0,,,,,,,
285896,514.59,,,,,1.0,,,,,,
285897,514.591,,,,,1.0,,,,,,
285898,514.592,,,,,,1.0,,,,,
285899,514.593,,,,,,,0.0,,,,
285900,514.594,,,,,,,,,,,0.0
285901,514.595,0.0,,,,,,,,,,
285902,514.597,,,1.0,,,,,,,,
285903,514.601,,,,,,,,0.0,,,
285904,514.605,0.0,,,,1.0,,,,0.0,,
285905,514.606,,,,0.0,,1.0,0.0,,,,0.0
285906,514.607,,,,0.0,,,,,,,
285907,514.616,,,,,,,,0.0,,,
285908,514.617,0.0,,,,,,,,,,
285909,514.619,,,,,1.0,,,,,,0.0
285910,514.62,,,1.0,,,,0.0,,,,
285911,514.625,,,,,,1.0,,,,,
285912,514.626,,,,,,,,,0.0,,
285913,514.627,,,,0.0,,,,,,,
285914,514.628,0.0,,,,,,,,,,
285915,514.631,,,,,,,,0.0,,,
285916,514.632,,,,,1.0,,,,,,0.0
285917,514.633,,,,,1.0,,,,,,
285918,514.639,0.0,,,,,,,,,,
285919,514.64,,,,,,1.0,0.0,,,,
285920,514.642,,,1.0,,,,,,,,
285921,514.646,,,,,,,,0.0,,,
285922,514.647,,,,,1.0,,,,,,
285923,514.648,,,,,1.0,,,,,,
285924,514.649,,,,0.0,,,,,0.0,,
285925,514.651,0.0,,,,,,,,,,
285926,514.653,,,,,,1.0,,,,,0.0
285927,514.654,,,,,,1.0,,,,,
285928,514.655,,,,,,,0.0,,,,
285929,514.658,,,1.0,,,,,,,,
285930,514.661,,,,,1.0,,,,,,
285931,514.662,0.0,,,,,,,,,,
285932,514.665,,,,0.0,,,,,,,
285933,514.666,,,,,,,,,,,0.0
285934,514.667,,,,,,,,0.0,,,
285935,514.668,,,,,,1.0,,,,,
285936,514.67,,,,,,,,,0.0,,
285937,514.672,0.0,,,,,,,,,,
285938,514.673,,,,,,,0.0,,,,
285939,514.675,,,1.0,,,,,,,,
285940,514.68,,,,,1.0,,,,,,
285941,514.683,0.0,,,,,,,,,,
285942,514.684,,,,,,,,0.0,,,
285943,514.685,,,,0.0,,1.0,,,,,
285944,514.686,,,,,,,,,,,0.0
285945,514.692,,,,,,,0.0,,,,
285946,514.694,,,,,,,,,0.0,,
285947,514.695,0.0,,,,1.0,,,,,,
285948,514.696,,,,,1.0,,,,,,
285949,514.698,,,1.0,,,,,,,,0.0
285950,514.7,,,,0.0,,,,,,,
285951,514.701,,,,0.0,,,,0.0,,,
285952,514.705,,,,,,1.0,,,,,
285953,514.706,0.0,,,,,,,,,,
285954,514.707,,,,,,,0.0,,,,
285955,514.709,,,,,1.0,,,,,,
285956,514.71,,,,,,,,,,,0.0
285957,514.715,,,,,,,,,0.0,,
285958,514.716,,,,0.0,,,,0.0,0.0,,
285959,514.717,0.0,,,,,,,,,,
285960,514.718,,,,,,1.0,,,,,
285961,514.721,,,1.0,,,,0.0,,,,
285962,514.722,,,1.0,,,,,,,,0.0
285963,514.724,,,,,1.0,,,,,,
285964,514.728,0.0,,,,,,,,,,
285965,514.731,,,,0.0,,,,,,,
285966,514.732,,,,0.0,,,,0.0,,,
285967,514.734,,,,,,,,,,,0.0
285968,514.736,,,,,,1.0,,,,,
285969,514.737,,,1.0,,,,,,,,
285970,514.738,,,1.0,,1.0,,,,,,
285971,514.739,0.0,,,,,,,,0.0,,
285972,514.74,,,,,,,0.0,,0.0,,
285973,514.747,,,,,,,,0.0,,,0.0
285974,514.749,0.0,,,,,,,,,,
285975,514.75,,,,,,1.0,,,,,
