,triad_01_MG_P1P2,triad_01_MG_P1P3,triad_01_MG_P2P3,triad_01_seconds_interaction,triad_03_MG_P1P2,triad_03_MG_P1P3,triad_03_MG_P2P3,triad_03_seconds_interaction,triad_04_MG_P1P2,triad_04_MG_P1P3,triad_04_MG_P2P3,triad_04_seconds_interaction,triad_05_MG_P1P2,triad_05_MG_P1P3,triad_05_MG_P2P3,triad_05_seconds_interaction,triad_06_MG_P1P2,triad_06_MG_P1P3,triad_06_MG_P2P3,triad_06_seconds_interaction,triad_07_MG_P1P2,triad_07_MG_P1P3,triad_07_MG_P2P3,triad_07_seconds_interaction,triad_08_MG_P1P2,triad_08_MG_P1P3,triad_08_MG_P2P3,triad_08_seconds_interaction,triad_09_MG_P1P2,triad_09_MG_P1P3,triad_09_MG_P2P3,triad_09_seconds_interaction,triad_02_MG_P1P2,triad_02_MG_P1P3,triad_02_MG_P2P3,triad_02_seconds_interaction,triad_11_MG_P1P2,triad_11_MG_P1P3,triad_11_MG_P2P3,triad_11_seconds_interaction,triad_10_MG_P1P2,triad_10_MG_P1P3,triad_10_MG_P2P3,triad_10_seconds_interaction,triad_14_MG_P1P2,triad_14_MG_P1P3,triad_14_MG_P2P3,triad_14_seconds_interaction,triad_12_MG_P1P2,triad_12_MG_P1P3,triad_12_MG_P2P3,triad_12_seconds_interaction,triad_13_MG_P1P2,triad_13_MG_P1P3,triad_13_MG_P2P3,triad_13_seconds_interaction
23335,0,0,0,269.613,0.0,0.0,0.0,304.941,0.0,0.0,0.0,242.489,0.0,0.0,0.0,318.912,0.0,0.0,0.0,320.756,0.0,0.0,0.0,156.166,0.0,0.0,0.0,243.59,0.0,0.0,1.0,331.69,0.0,0.0,0.0,289.286,1.0,0.0,0.0,,0.0,0.0,0.0,369.647,0.0,0.0,0.0,341.894,0.0,0.0,0.0,251.844,0.0,0.0,0.0,375.748
23336,0,0,0,269.614,0.0,0.0,0.0,304.958,0.0,0.0,0.0,242.501,0.0,0.0,0.0,318.931,0.0,0.0,0.0,320.778,0.0,0.0,0.0,156.186,0.0,0.0,0.0,243.615,0.0,0.0,0.0,331.722,0.0,0.0,0.0,289.305,1.0,0.0,0.0,,0.0,0.0,0.0,369.664,0.0,0.0,0.0,341.919,0.0,0.0,0.0,251.845,0.0,0.0,0.0,375.753
23337,0,0,0,269.627,0.0,0.0,0.0,304.975,0.0,0.0,0.0,242.521,0.0,0.0,0.0,318.932,0.0,0.0,0.0,320.793,0.0,0.0,0.0,156.2,0.0,0.0,0.0,243.637,0.0,0.0,0.0,331.75,0.0,0.0,0.0,289.323,1.0,0.0,0.0,,0.0,0.0,0.0,369.667,0.0,0.0,0.0,341.939,0.0,0.0,0.0,251.863,0.0,0.0,0.0,375.775
23338,0,0,0,269.628,0.0,0.0,0.0,304.997,0.0,0.0,0.0,242.532,0.0,0.0,0.0,318.945,0.0,0.0,0.0,320.809,0.0,0.0,0.0,156.212,0.0,0.0,0.0,243.638,0.0,0.0,1.0,331.773,0.0,0.0,0.0,289.324,1.0,0.0,0.0,,0.0,0.0,0.0,369.685,0.0,0.0,0.0,341.952,0.0,0.0,0.0,251.881,0.0,0.0,0.0,375.795
23339,0,0,0,269.641,0.0,0.0,0.0,304.998,0.0,0.0,0.0,242.544,0.0,0.0,0.0,318.961,0.0,0.0,0.0,320.823,0.0,0.0,0.0,156.23,0.0,0.0,0.0,243.655,0.0,0.0,1.0,331.798,0.0,0.0,0.0,289.341,1.0,0.0,0.0,,0.0,0.0,0.0,369.691,0.0,0.0,0.0,341.965,0.0,0.0,0.0,251.899,0.0,0.0,0.0,375.815
23340,0,0,0,269.654,0.0,0.0,0.0,305.015,0.0,0.0,0.0,242.557,0.0,0.0,0.0,318.979,0.0,0.0,0.0,320.839,0.0,0.0,0.0,156.242,0.0,0.0,0.0,243.672,0.0,0.0,1.0,331.799,0.0,0.0,0.0,289.359,1.0,0.0,0.0,,0.0,0.0,0.0,369.724,0.0,0.0,0.0,341.979,0.0,0.0,0.0,251.9,0.0,0.0,0.0,375.835
23341,0,0,0,269.673,0.0,0.0,0.0,305.032,0.0,0.0,0.0,242.569,0.0,0.0,0.0,318.995,0.0,0.0,0.0,320.856,0.0,0.0,0.0,156.255,0.0,0.0,0.0,243.693,0.0,0.0,1.0,331.827,0.0,0.0,0.0,289.36,1.0,0.0,0.0,,0.0,0.0,0.0,369.744,0.0,0.0,0.0,342.005,0.0,0.0,0.0,251.919,0.0,0.0,0.0,375.86
23342,0,0,0,269.674,0.0,0.0,0.0,305.049,0.0,0.0,0.0,242.58,0.0,0.0,0.0,319.012,0.0,0.0,0.0,320.871,0.0,0.0,0.0,156.275,0.0,0.0,0.0,243.715,0.0,0.0,1.0,331.835,0.0,0.0,0.0,289.382,1.0,0.0,0.0,,0.0,0.0,0.0,369.763,0.0,0.0,0.0,342.019,0.0,0.0,0.0,251.951,0.0,0.0,0.0,375.861
23343,0,0,0,269.687,0.0,0.0,0.0,305.068,0.0,0.0,0.0,242.591,0.0,0.0,0.0,319.027,0.0,0.0,0.0,320.889,0.0,0.0,0.0,156.288,0.0,0.0,0.0,243.732,0.0,0.0,1.0,331.861,0.0,0.0,0.0,289.399,1.0,0.0,0.0,,0.0,0.0,0.0,369.78,0.0,0.0,0.0,342.039,0.0,0.0,0.0,251.952,0.0,0.0,0.0,375.883
23344,0,0,0,269.707,0.0,0.0,0.0,305.091,0.0,0.0,0.0,242.602,0.0,0.0,0.0,319.045,0.0,0.0,0.0,320.907,0.0,0.0,0.0,156.302,0.0,0.0,0.0,243.75,0.0,0.0,1.0,331.883,0.0,0.0,0.0,289.416,1.0,0.0,0.0,,0.0,0.0,0.0,369.798,0.0,0.0,0.0,342.052,0.0,0.0,0.0,251.97,0.0,0.0,0.0,375.902
