session,time_ms,arousal,dominance,valence,task_engagement,text_p_blue,speaking_p_blue,sentiment_p_blue,engagement_p_blue,text_p_green,speaking_p_green,sentiment_p_green,engagement_p_green
recording_dyad_04,680320.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680360.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680400.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680440.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680480.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680520.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680560.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680600.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680640.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680680.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680720.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680760.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680800.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680840.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680880.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680920.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680960.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681000.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681040.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681080.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681120.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681160.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681200.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681240.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681280.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681320.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681360.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681400.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681440.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681480.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681520.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681560.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681600.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681640.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681680.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681720.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681760.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681800.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681840.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681880.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,681920.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,681960.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,682000.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
