session,role,segment_count,total_segment_duration_s,total_words,words_per_second_overall,avg_words_per_segment,avg_word_length,question_ratio,statement_ratio,sentiment_p_blue_mean_avg,sentiment_p_blue_mean_spread,engagement_p_blue_mean_avg,engagement_p_blue_mean_spread,task_engagement_mean_avg,task_engagement_mean_spread,arousal_mean_avg,arousal_mean_spread,dominance_mean_avg,dominance_mean_spread,valence_mean_avg,valence_mean_spread,sentiment_p_green_mean_avg,sentiment_p_green_mean_spread,engagement_p_green_mean_avg,engagement_p_green_mean_spread,sentiment_p_red_mean_avg,sentiment_p_red_mean_spread,engagement_p_red_mean_avg,engagement_p_red_mean_spread,sentiment_p_blue_std_avg,sentiment_p_blue_std_spread,engagement_p_blue_std_avg,engagement_p_blue_std_spread,task_engagement_std_avg,task_engagement_std_spread,arousal_std_avg,arousal_std_spread,dominance_std_avg,dominance_std_spread,valence_std_avg,valence_std_spread,sentiment_p_green_std_avg,sentiment_p_green_std_spread,engagement_p_green_std_avg,engagement_p_green_std_spread,sentiment_p_red_std_avg,sentiment_p_red_std_spread,engagement_p_red_std_avg,engagement_p_red_std_spread
recording_dyad_11,p_blue,56,176.8,563,3.184389140271493,10.053571428571429,4.152746971220444,0.0,1.0,0.01237987391071429,0.3673082670987324,0.48522869999825285,0.18825081884454756,0.7594719748900383,0.21279903448904722,0.4622987412116493,0.025496812865548286,0.47516851893352147,0.018333329577096782,0.4717822855671696,0.010024322056562252,,,,,,,,,3.955789069325683e-17,7.439846970485789e-17,0.009254694056673939,0.026644866800052625,0.018015313606558257,0.04476456234271337,0.07232149108159303,0.024384391169536463,0.055285350552917875,0.016777705747978322,0.03199285214257978,0.008627639211033324,,,,,,,,
recording_dyad_11,p_green,81,236.002,685,2.9025177752730906,8.45679012345679,4.411299887349142,0.07407407407407407,0.9259259259259259,,,,,0.6845536230197965,0.2537128918377591,0.4724546311637286,0.02722560196757133,0.4746559512104543,0.020781075177581744,0.47363266767720985,0.009915171593306975,-0.1352817258641975,0.4093986185160042,0.5911554582248199,0.13826130901660258,,,,,,,,,0.01722804994845666,0.05074051560886649,0.07807990864977417,0.01788238241338516,0.061757419201813255,0.013669442300068098,0.032848363095363216,0.0075178281729757785,3.7470562489579276e-17,6.249489198489235e-17,0.005799968144346539,0.015691007169866843,,,,
recording_triad_01,p_blue,87,184.16000000000003,658,3.572980017376194,7.563218390804598,4.471813753953918,0.06896551724137931,0.9310344827586207,-0.16724126921111113,0.459224312245986,0.7904772554651837,0.1354649738749022,0.5469543121232365,0.3944282746941691,0.500628020679157,0.01499194150969537,0.47298681054238845,0.012499304173778064,0.4655941229080553,0.017881492553807266,,,,,,,,,0.001068024488013913,0.006969588247617248,0.006880229311248727,0.021027422630344506,0.0032348139007648373,0.016823482437413707,0.06036437593438644,0.011623103755638029,0.05206037773746933,0.01198420591326695,0.04770621705499678,0.011139113135757786,,,,,,,,
recording_triad_01,p_green,52,81.08099999999999,297,3.6630036630036633,5.711538461538462,4.53983595225014,0.09615384615384616,0.9038461538461539,,,,,0.35159281751161053,0.3917707930051054,0.486103158906612,0.023552592710643607,0.4774896988029319,0.018732933706956258,0.47507048257901485,0.021428517524200823,-0.03754830024572649,0.42125000442842303,0.4490371267993307,0.14731192608316465,,,,,,,,,0.009324484047626803,0.0374604761448568,0.06784921072932432,0.018213442665821537,0.05473532541886127,0.014115208847067866,0.04576161010698227,0.01041977857657183,0.0035931366492770464,0.021331065429437888,0.004543642510010102,0.01180191835415996,,,,
recording_triad_01,p_red,89,173.44,646,3.7246309963099633,7.258426966292135,3.860097452761956,0.10112359550561797,0.898876404494382,,,,,0.3019145307947763,0.41233319111078315,0.5004076358975946,0.02442359126560733,0.4694661013410983,0.019711074720028487,0.47235164041483935,0.021729512802803268,,,,,-0.07878637117410756,0.38760355922201317,0.7007281693348193,0.12168307692544604,,,,,0.013854379883766697,0.05376177202319186,0.05370399727987878,0.013562100618833596,0.04661995079227773,0.01279484222170021,0.04677826904765761,0.011760079122274046,,,,,0.002058540661351342,0.018402546518288133,0.005621850169951454,0.013402189145419215
recording_triad_02,p_blue,48,182.95999999999998,572,3.126366418889375,11.916666666666666,4.343529654938799,0.08333333333333333,0.9166666666666666,-0.15358384325208332,0.3534064406884692,0.5844885138268584,0.11802440270708402,0.7503086904734731,0.3131730980735829,0.47534157046186803,0.015725473602667437,0.4648852970221931,0.016860070120074736,0.43818871631071965,0.01946868594332084,,,,,,,,,0.0006481966532094918,0.0034042722180862794,0.014676885344225258,0.0256732246043207,0.026727704986722514,0.06860966577985292,0.06251836550996125,0.010236920733137662,0.0520804899934831,0.008164038238897093,0.0476565929342446,0.011186369233682249,,,,,,,,
recording_triad_02,p_green,65,263.442,779,2.9570076145793003,11.984615384615385,4.73027913780662,0.015384615384615385,0.9846153846153847,,,,,0.7899115957910956,0.2755120054389711,0.46897662533715634,0.021286497568282343,0.4639148816931439,0.017127262874280215,0.4677489137137083,0.017176249313141302,-0.11289936320153847,0.3345578267768551,0.5676078432265256,0.07499173631704095,,,,,,,,,0.01741001870264585,0.04929969524570503,0.0670698729956018,0.01292917852532563,0.05377170797992182,0.010162285455791118,0.04347431334516004,0.009181057922870677,3.837074888593314e-17,6.035295591835799e-17,0.0081741984810083,0.019345915518352248,,,,
recording_triad_02,p_red,21,66.16,190,2.871825876662636,9.047619047619047,4.074186746837123,0.0,1.0,,,,,0.8304828784936295,0.20302618600138542,0.48211675212915545,0.020982942319460258,0.4643361609746094,0.020313360364142437,0.45143263277897117,0.02014612964330221,,,,,-0.15038945185714286,0.37734286251540156,0.4042119522157113,0.1370844055798279,,,,,0.01135788482566772,0.04024996156161392,0.05494233931101401,0.017378816103758,0.04733757611122423,0.01656114286337086,0.04029265975084822,0.01300003231472216,,,,,3.188586960604988e-17,5.735585064187677e-17,0.02224883950670459,0.039977758088511874
recording_triad_03,p_blue,103,232.04,879,3.78813997586623,8.533980582524272,3.8835277411639737,0.05825242718446602,0.941747572815534,-0.2163889664801211,0.488117595818929,0.5686788249718382,0.14298080983309586,0.5959135681864051,0.37669840043656794,0.5095922919101523,0.02125126112127848,0.48594466911559997,0.019613804133910877,0.48150222471367465,0.014852701540518517,,,,,,,,,0.0033679893110373344,0.018813681439351543,0.00897939552745245,0.019850245805783047,0.014217987402414247,0.037800861815577014,0.06331711263649999,0.014388912017622007,0.0556606420435783,0.012819883579776243,0.03988154381826472,0.008475031942160606,,,,,,,,
recording_triad_03,p_green,52,121.16099999999999,422,3.4829689421513526,8.115384615384615,4.296927503836499,0.057692307692307696,0.9423076923076923,,,,,0.6117294815320931,0.3735397176767645,0.5043505950476554,0.02097047395207589,0.4793590864775987,0.015291141909808676,0.47788833968582634,0.018198692878672592,-0.3155186733288461,0.4051495346782721,0.5279515140756293,0.12426904188936412,,,,,,,,,0.011792708827013575,0.029315492990397016,0.061110665373804635,0.012790869948395256,0.05328623390880035,0.0120803433374084,0.0429849304676473,0.010674136620731092,6.73206148946384e-17,9.840170234980913e-17,0.006076684764462262,0.01844602053210233,,,,
