analysis,target,model,feature,coef,std_err,t,p_value,z
group_task_engagement,task_engagement_mean,logistic,valence_mean,0.05584049387815535,,,,
group_task_engagement,task_engagement_mean,logistic,role_p_green,-0.033879862112179165,,,,
group_task_engagement,task_engagement_mean,logistic,role_p_red,-0.09902345483151745,,,,
group_task_engagement,task_engagement_mean,linear_statsmodels,const,173335238224.52298,204248468878.89548,0.8486488989413096,0.39612550653557643,
group_task_engagement,task_engagement_mean,linear_statsmodels,segment_duration_s,0.018500234888592332,0.005386850656747407,3.434332241124876,0.0005998192572112427,
group_task_engagement,task_engagement_mean,linear_statsmodels,word_count,0.0029958254751912116,0.0017081212759349552,1.7538716468193514,0.07952611766820437,
group_task_engagement,task_engagement_mean,linear_statsmodels,avg_word_length,-0.01627769482128616,0.003722366189516419,-4.372942905813582,1.2557968307534424e-05,
group_task_engagement,task_engagement_mean,linear_statsmodels,words_per_second,0.0017080269113994486,0.0011201788147650515,1.5247805876043938,0.1273898307414378,
group_task_engagement,task_engagement_mean,linear_statsmodels,question,-173335238224.17078,204248468878.88953,-0.8486488989396099,0.396125506536522,
group_task_engagement,task_engagement_mean,linear_statsmodels,statement,-173335238223.96515,204248468878.8897,-0.8486488989386024,0.3961255065370831,
group_task_engagement,task_engagement_mean,linear_statsmodels,sentiment_p_blue_mean,0.045027715464529515,0.02267919580706235,1.9854194058551136,0.047163368173901384,
group_task_engagement,task_engagement_mean,linear_statsmodels,sentiment_p_green_mean,-0.014725291540480669,0.02111162442332748,-0.6974968503233614,0.48553087959735897,
group_task_engagement,task_engagement_mean,linear_statsmodels,sentiment_p_red_mean,-0.02615460267440997,0.03255238842293472,-0.8034618638300224,0.4217537247807184,
group_task_engagement,task_engagement_mean,linear_statsmodels,arousal_mean,-0.7704214796344477,0.4108007952457955,-1.8754137980027021,0.06080579027654348,
group_task_engagement,task_engagement_mean,linear_statsmodels,dominance_mean,0.5691965187549386,0.5016829871469511,1.1345740902874422,0.2566191690803953,
group_task_engagement,task_engagement_mean,linear_statsmodels,valence_mean,0.4021954635629989,0.23657205079306645,1.700097125652455,0.08918739069478208,
group_task_engagement,task_engagement_mean,linear_statsmodels,role_p_green,-0.03505191868325089,0.01219803332700566,-2.8735713162586793,0.004079156461250737,
group_task_engagement,task_engagement_mean,linear_statsmodels,role_p_red,-0.09704372599666655,0.016209554159135116,-5.986822650638804,2.320296409590613e-09,
group_task_engagement,task_engagement_mean,logistic_statsmodels,const,-0.39074951146884923,2937626.9301384888,,0.9999998938690958,-1.3301536265887516e-07
group_task_engagement,task_engagement_mean,logistic_statsmodels,segment_duration_s,0.067642202964253,0.04005609289777751,,0.09127943005398943,1.6886869904380037
group_task_engagement,task_engagement_mean,logistic_statsmodels,word_count,0.029249067143816768,0.012590066067679326,,0.020169154363456388,2.323186152208026
group_task_engagement,task_engagement_mean,logistic_statsmodels,avg_word_length,-0.10901611657552707,0.024443473894625884,,8.198745823164836e-06,-4.459927301883847
group_task_engagement,task_engagement_mean,logistic_statsmodels,words_per_second,0.0377918346737692,0.02119949356540583,,0.07463901205803501,1.7826762963545228
group_task_engagement,task_engagement_mean,logistic_statsmodels,question,-0.7932926064493762,2937626.9301384874,,0.9999997845349535,-2.700453887832443e-07
group_task_engagement,task_engagement_mean,logistic_statsmodels,statement,0.4025435259076985,2937626.930138493,,0.9999998906657408,1.3703017281664177e-07
group_task_engagement,task_engagement_mean,logistic_statsmodels,sentiment_p_blue_mean,0.3134649874235616,0.14090874745718243,,0.026108394556081486,2.224595655559378
group_task_engagement,task_engagement_mean,logistic_statsmodels,sentiment_p_green_mean,-0.041999164792166255,0.1302189660918734,,0.7470532986569922,-0.3225272481624112
group_task_engagement,task_engagement_mean,logistic_statsmodels,sentiment_p_red_mean,-0.07237772743227346,0.20001041568374409,,0.7174493350935471,-0.3618697915548404
group_task_engagement,task_engagement_mean,logistic_statsmodels,arousal_mean,3.423905948272874,2.5221769591144976,,0.1746160074216221,1.3575201120998905
group_task_engagement,task_engagement_mean,logistic_statsmodels,dominance_mean,-4.383492016729912,3.0784668299716316,,0.15446948783315156,-1.4239204964148684
group_task_engagement,task_engagement_mean,logistic_statsmodels,valence_mean,1.1107322881327604,1.4548802684622015,,0.44519345310797753,0.7634527130585095
group_task_engagement,task_engagement_mean,logistic_statsmodels,role_p_green,-0.10003798842380639,0.075042685778426,,0.1825051808393351,-1.333081130907048
group_task_engagement,task_engagement_mean,logistic_statsmodels,role_p_red,-0.3091691522768631,0.10033146038429533,,0.002059759425457007,-3.081477645124128
