groupset,split,detector,n,n_groups,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
g16,All,AIED,153,16,4,1,QDA,0.605,0.264,0.562,0.4186,0.654,0.5233,0.163
g16,All,AIED,153,16,4,2,NB,0.601,0.245,0.562,,0.629,0.5385,0.157
g16,D,linguistic,72,7,7,1,NB,0.621,0.213,0.653,0.1728,-0.397,0.7054,-0.150
g16,D,linguistic,72,7,7,2,QDA,0.614,0.164,0.653,,-0.633,0.5499,-0.239
g16,All,GazexSpeaking,153,16,6,1,QDA,0.788,0.147,0.562,0.0033,6.150,0.0000,1.537
g16,All,GazexSpeaking,153,16,6,2,NB,0.782,0.140,0.562,,6.262,0.0000,1.566
g16,All,linguistic,153,16,7,1,QDA,0.807,0.163,0.562,0.0033,6.013,0.0000,1.503
g16,All,linguistic,153,16,7,2,NB,0.801,0.157,0.562,,6.087,0.0000,1.522
g16,D,linguistic+AIED,72,7,11,1,LogReg,0.777,0.092,0.653,0.0033,3.565,0.0119,1.348
g16,D,linguistic+AIED,72,7,11,2,SVM,0.677,0.180,0.653,,0.363,0.7290,0.137
g16,D,linguistic+GazexSpeaking,72,7,13,1,LogReg,0.768,0.078,0.653,0.0166,3.903,0.0080,1.475
g16,D,linguistic+GazexSpeaking,72,7,13,2,SVM,0.756,0.108,0.653,,2.527,0.0449,0.955
g16,All,linguistic+GazexSpeaking,153,16,13,1,NB,0.816,0.146,0.562,0.0033,6.969,0.0000,1.742
g16,All,linguistic+GazexSpeaking,153,16,13,2,QDA,0.802,0.129,0.562,,7.451,0.0000,1.863
g16,T,AIxVR,81,9,1,1,LogReg,0.596,0.219,0.519,0.0233,1.058,0.3209,0.353
g16,T,AIxVR,81,9,1,2,QDA,0.582,0.229,0.519,,0.828,0.4319,0.276
g16,T,GazexSpeaking,81,9,6,1,NB,0.826,0.173,0.519,0.0033,5.323,0.0007,1.774
g16,T,GazexSpeaking,81,9,6,2,QDA,0.783,0.177,0.519,,4.491,0.0020,1.497
g16,T,linguistic,81,9,7,1,NB,0.868,0.158,0.519,0.0033,6.635,0.0002,2.212
g16,T,linguistic,81,9,7,2,SVM,0.813,0.124,0.519,,7.112,0.0001,2.371
g16,T,linguistic+AIED,81,9,11,1,NB,0.832,0.123,0.519,0.0033,7.662,0.0001,2.554
g16,T,linguistic+AIED,81,9,11,2,LogReg,0.798,0.147,0.519,,5.695,0.0005,1.898
g16,T,linguistic+GazexSpeaking,81,9,13,1,NB,0.895,0.129,0.519,0.0033,8.751,0.0000,2.917
g16,T,linguistic+GazexSpeaking,81,9,13,2,LogReg,0.832,0.160,0.519,,5.870,0.0004,1.957
g16,T,AIED,81,9,4,1,LogReg,0.615,0.299,0.519,0.0066,0.971,0.3598,0.324
g16,T,AIED,81,9,4,2,NB,0.615,0.286,0.519,,1.017,0.3391,0.339
g16,All,linguistic+AIED,153,16,11,1,LogReg,0.776,0.191,0.562,0.0033,4.485,0.0004,1.121
g16,All,linguistic+AIED,153,16,11,2,NB,0.773,0.174,0.562,,4.837,0.0002,1.209
g25,All,linguistic,243,25,7,1,NB,0.768,0.216,0.519,0.0033,5.770,0.0000,1.154
g25,All,linguistic,243,25,7,2,QDA,0.766,0.200,0.519,,6.165,0.0000,1.233
