split,detector,model,test_group,k,selected
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_06,4,word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_02,10,dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|No_G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_10,1,word_count
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_03,4,word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_07,6,valence|word_count|question_ratio|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_05,6,valence|word_count|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_04,6,valence|word_count|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_11,5,valence|word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_06,7,dominance|valence|segment_count|word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_02,10,dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|No_G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,NB,dyad_10,7,valence|segment_count|word_count|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
T,audio+linguistic_sel,QDA,triad_01,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_13,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_06,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_05,8,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_14,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_12,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,QDA,triad_09,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_07,7,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_02,8,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_10,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,QDA,triad_08,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,QDA,triad_11,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,SVM,triad_01,7,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,SVM,triad_13,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_06,8,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,SVM,triad_05,8,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,SVM,triad_14,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_12,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_09,4,dominance|word_count|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_07,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_02,4,dominance|word_count|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_10,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_08,6,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,SVM,triad_11,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,LogReg,triad_01,7,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,LogReg,triad_13,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,LogReg,triad_06,8,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,LogReg,triad_05,8,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,LogReg,triad_14,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,LogReg,triad_12,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,LogReg,triad_09,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,LogReg,triad_07,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,LogReg,triad_02,7,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,LogReg,triad_10,4,dominance|word_count|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,LogReg,triad_08,7,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,LogReg,triad_11,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_01,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_13,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_06,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_05,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,NB,triad_14,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_12,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_09,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_07,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
T,audio+linguistic_sel,NB,triad_02,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,NB,triad_10,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,NB,triad_08,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,audio+linguistic_sel,NB,triad_11,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
T,linguistic+GazexSpeaking_sel,QDA,triad_01,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_13,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_06,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_05,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_14,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_12,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_09,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_07,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_02,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_10,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
