split,detector,n,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
D,AIED,79,4,1,NB,0.749,0.145,0.595,0.1030,3.003,0.0198,1.062
D,AIED,79,4,2,LogReg,0.748,0.162,0.595,,2.677,0.0317,0.946
D,linguistic+AIED,79,11,1,LogReg,0.815,0.123,0.595,0.0033,5.082,0.0014,1.797
D,linguistic+AIED,79,11,2,SVM,0.748,0.204,0.595,,2.126,0.0711,0.752
D,audio+AIED,79,7,1,LogReg,0.791,0.166,0.595,0.0498,3.335,0.0125,1.179
D,audio+AIED,79,7,2,QDA,0.766,0.169,0.595,,2.866,0.0241,1.013
T,AIED,106,4,1,QDA,0.628,0.280,0.538,0.0100,1.124,0.2849,0.324
T,AIED,106,4,2,LogReg,0.592,0.222,0.538,,0.846,0.4153,0.244
T,linguistic+AIED,106,11,1,QDA,0.776,0.232,0.538,0.0033,3.567,0.0044,1.030
T,linguistic+AIED,106,11,2,SVM,0.741,0.168,0.538,,4.203,0.0015,1.213
T,audio+AIED,106,7,1,SVM,0.702,0.209,0.538,0.0066,2.733,0.0195,0.789
T,audio+AIED,106,7,2,LogReg,0.695,0.204,0.538,,2.676,0.0216,0.773
All,AIED,185,4,1,QDA,0.626,0.247,0.519,0.0930,1.934,0.0682,0.432
All,AIED,185,4,2,NB,0.575,0.258,0.519,,0.973,0.3427,0.218
All,audio+AIED,185,7,1,SVM,0.745,0.162,0.519,0.0033,6.236,0.0000,1.394
All,audio+AIED,185,7,2,QDA,0.732,0.177,0.519,,5.379,0.0000,1.203
All,linguistic+AIED,185,11,1,SVM,0.794,0.152,0.519,0.0033,8.087,0.0000,1.808
All,linguistic+AIED,185,11,2,QDA,0.766,0.197,0.519,,5.599,0.0000,1.252
