split,rank,feature,F,p
T,26,opensmile_loudness_sma3_pctlrange0-2,2.821,0.09604
T,27,opensmile_shimmerLocaldB_sma3nz_amean,2.477,0.11854
T,28,opensmile_slopeV0-500_sma3nz_stddevNorm,2.477,0.11856
T,29,opensmile_loudness_sma3_percentile50.0,2.304,0.13206
T,30,opensmile_loudness_sma3_amean,2.181,0.14275
T,31,opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,2.179,0.14296
T,32,opensmile_alphaRatioUV_sma3nz_amean,1.849,0.17684
T,33,opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,1.501,0.22335
T,34,opensmile_F1bandwidth_sma3nz_amean,1.454,0.23058
T,35,opensmile_HNRdBACF_sma3nz_stddevNorm,1.425,0.23537
T,36,opensmile_F2bandwidth_sma3nz_amean,1.399,0.23964
T,37,opensmile_spectralFluxV_sma3nz_stddevNorm,1.289,0.2588
T,38,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,1.197,0.27652
T,39,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,1.07,0.30345
T,40,opensmile_mfcc1V_sma3nz_amean,1.022,0.31443
T,41,opensmile_F3amplitudeLogRelF0_sma3nz_amean,1.007,0.318
T,42,opensmile_jitterLocal_sma3nz_amean,0.941,0.33439
T,43,opensmile_alphaRatioV_sma3nz_amean,0.907,0.34314
T,44,opensmile_jitterLocal_sma3nz_stddevNorm,0.84,0.36165
T,45,opensmile_loudness_sma3_percentile20.0,0.826,0.36558
T,46,opensmile_F2frequency_sma3nz_amean,0.766,0.38335
T,47,opensmile_spectralFluxUV_sma3nz_amean,0.711,0.40111
T,48,opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,0.608,0.4373
T,49,opensmile_slopeV500-1500_sma3nz_amean,0.6,0.44026
T,50,opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,0.556,0.45766
T,51,opensmile_F1bandwidth_sma3nz_stddevNorm,0.507,0.47805
T,52,opensmile_hammarbergIndexV_sma3nz_stddevNorm,0.499,0.48153
T,53,opensmile_mfcc2_sma3_stddevNorm,0.465,0.49659
T,54,opensmile_loudness_sma3_percentile80.0,0.439,0.50915
T,55,opensmile_mfcc3V_sma3nz_amean,0.421,0.51808
T,56,opensmile_hammarbergIndexV_sma3nz_amean,0.418,0.5196
T,57,opensmile_slopeUV0-500_sma3nz_amean,0.352,0.55428
T,58,opensmile_F3bandwidth_sma3nz_amean,0.343,0.55921
T,59,opensmile_loudness_sma3_meanRisingSlope,0.334,0.56454
T,60,opensmile_alphaRatioV_sma3nz_stddevNorm,0.309,0.57929
T,61,opensmile_F2amplitudeLogRelF0_sma3nz_amean,0.281,0.59743
T,62,opensmile_mfcc4_sma3_amean,0.276,0.6005
T,63,opensmile_spectralFluxV_sma3nz_amean,0.274,0.60204
T,64,opensmile_spectralFlux_sma3_amean,0.267,0.60615
T,65,opensmile_logRelF0-H1-H2_sma3nz_amean,0.265,0.60787
T,66,opensmile_logRelF0-H1-A3_sma3nz_amean,0.248,0.6197
T,67,opensmile_F1amplitudeLogRelF0_sma3nz_amean,0.21,0.64738
T,68,opensmile_StddevUnvoicedSegmentLength,0.196,0.65919
T,69,opensmile_F1frequency_sma3nz_stddevNorm,0.171,0.68001
T,70,opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,0.171,0.68031
T,71,opensmile_mfcc4V_sma3nz_amean,0.149,0.69985
T,72,opensmile_slopeV500-1500_sma3nz_stddevNorm,0.149,0.70033
T,73,opensmile_F3bandwidth_sma3nz_stddevNorm,0.123,0.72695
T,74,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.119,0.73129
T,75,opensmile_StddevVoicedSegmentLengthSec,0.078,0.7805
T,76,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.072,0.78841
T,77,opensmile_F3frequency_sma3nz_stddevNorm,0.053,0.81842
T,78,opensmile_slopeV0-500_sma3nz_amean,0.039,0.84398
T,79,opensmile_mfcc2_sma3_amean,0.036,0.84978
T,80,opensmile_mfcc2V_sma3nz_amean,0.033,0.85726
T,81,opensmile_HNRdBACF_sma3nz_amean,0.022,0.88113
T,82,opensmile_MeanVoicedSegmentLengthSec,0.014,0.90702
T,83,opensmile_mfcc1_sma3_amean,0.013,0.91094
T,84,opensmile_loudness_sma3_meanFallingSlope,0.006,0.93804
T,85,opensmile_VoicedSegmentsPerSec,0.006,0.93997
T,86,opensmile_mfcc3_sma3_amean,0.003,0.95416
T,87,opensmile_F3frequency_sma3nz_amean,0.002,0.96714
T,88,opensmile_F1frequency_sma3nz_amean,0.002,0.96845
