split,detector,model,fold,test_group,accuracy
All,linguistic+GazexSpeaking,QDA,5,triad_06,1.000000
All,linguistic+GazexSpeaking,QDA,6,triad_05,0.363636
All,linguistic+GazexSpeaking,QDA,7,triad_13,0.636364
All,linguistic+GazexSpeaking,QDA,8,triad_14,0.800000
All,linguistic+GazexSpeaking,QDA,9,dyad_06,0.888889
All,linguistic+GazexSpeaking,QDA,10,dyad_11,0.666667
All,linguistic+GazexSpeaking,QDA,11,dyad_02,0.888889
All,linguistic+GazexSpeaking,QDA,12,triad_07,0.750000
All,linguistic+GazexSpeaking,QDA,13,triad_09,0.875000
All,linguistic+GazexSpeaking,QDA,14,triad_12,0.875000
All,linguistic+GazexSpeaking,QDA,15,triad_02,1.000000
All,linguistic+GazexSpeaking,QDA,16,dyad_10,1.000000
All,linguistic+GazexSpeaking,QDA,17,triad_08,1.000000
All,linguistic+GazexSpeaking,QDA,18,triad_10,0.857143
All,linguistic+GazexSpeaking,QDA,19,triad_11,0.250000
All,linguistic+GazexSpeaking,SVM,0,triad_01,0.923077
All,linguistic+GazexSpeaking,SVM,1,dyad_03,0.750000
All,linguistic+GazexSpeaking,SVM,2,dyad_04,0.454545
All,linguistic+GazexSpeaking,SVM,3,dyad_05,0.727273
All,linguistic+GazexSpeaking,SVM,4,dyad_07,0.636364
All,linguistic+GazexSpeaking,SVM,5,triad_06,0.909091
All,linguistic+GazexSpeaking,SVM,6,triad_05,0.454545
All,linguistic+GazexSpeaking,SVM,7,triad_13,0.636364
All,linguistic+GazexSpeaking,SVM,8,triad_14,0.900000
All,linguistic+GazexSpeaking,SVM,9,dyad_06,0.777778
All,linguistic+GazexSpeaking,SVM,10,dyad_11,0.777778
All,linguistic+GazexSpeaking,SVM,11,dyad_02,0.555556
All,linguistic+GazexSpeaking,SVM,12,triad_07,0.750000
All,linguistic+GazexSpeaking,SVM,13,triad_09,0.875000
All,linguistic+GazexSpeaking,SVM,14,triad_12,0.875000
All,linguistic+GazexSpeaking,SVM,15,triad_02,1.000000
All,linguistic+GazexSpeaking,SVM,16,dyad_10,1.000000
All,linguistic+GazexSpeaking,SVM,17,triad_08,1.000000
All,linguistic+GazexSpeaking,SVM,18,triad_10,1.000000
All,linguistic+GazexSpeaking,SVM,19,triad_11,0.000000
All,linguistic+GazexSpeaking,LogReg,0,triad_01,0.923077
All,linguistic+GazexSpeaking,LogReg,1,dyad_03,0.416667
All,linguistic+GazexSpeaking,LogReg,2,dyad_04,0.545455
All,linguistic+GazexSpeaking,LogReg,3,dyad_05,0.727273
All,linguistic+GazexSpeaking,LogReg,4,dyad_07,0.454545
All,linguistic+GazexSpeaking,LogReg,5,triad_06,0.727273
All,linguistic+GazexSpeaking,LogReg,6,triad_05,0.363636
All,linguistic+GazexSpeaking,LogReg,7,triad_13,0.545455
All,linguistic+GazexSpeaking,LogReg,8,triad_14,0.900000
All,linguistic+GazexSpeaking,LogReg,9,dyad_06,0.888889
All,linguistic+GazexSpeaking,LogReg,10,dyad_11,0.555556
All,linguistic+GazexSpeaking,LogReg,11,dyad_02,0.555556
All,linguistic+GazexSpeaking,LogReg,12,triad_07,0.750000
All,linguistic+GazexSpeaking,LogReg,13,triad_09,0.875000
All,linguistic+GazexSpeaking,LogReg,14,triad_12,0.625000
All,linguistic+GazexSpeaking,LogReg,15,triad_02,1.000000
All,linguistic+GazexSpeaking,LogReg,16,dyad_10,1.000000
All,linguistic+GazexSpeaking,LogReg,17,triad_08,1.000000
All,linguistic+GazexSpeaking,LogReg,18,triad_10,1.000000
All,linguistic+GazexSpeaking,LogReg,19,triad_11,0.000000
All,linguistic+GazexSpeaking,NB,0,triad_01,0.923077
All,linguistic+GazexSpeaking,NB,1,dyad_03,0.833333
All,linguistic+GazexSpeaking,NB,2,dyad_04,0.727273
All,linguistic+GazexSpeaking,NB,3,dyad_05,0.727273
All,linguistic+GazexSpeaking,NB,4,dyad_07,0.636364
All,linguistic+GazexSpeaking,NB,5,triad_06,1.000000
All,linguistic+GazexSpeaking,NB,6,triad_05,0.363636
All,linguistic+GazexSpeaking,NB,7,triad_13,0.636364
All,linguistic+GazexSpeaking,NB,8,triad_14,0.900000
All,linguistic+GazexSpeaking,NB,9,dyad_06,0.888889
All,linguistic+GazexSpeaking,NB,10,dyad_11,0.666667
All,linguistic+GazexSpeaking,NB,11,dyad_02,0.888889
All,linguistic+GazexSpeaking,NB,12,triad_07,0.625000
All,linguistic+GazexSpeaking,NB,13,triad_09,0.875000
All,linguistic+GazexSpeaking,NB,14,triad_12,0.875000
All,linguistic+GazexSpeaking,NB,15,triad_02,1.000000
All,linguistic+GazexSpeaking,NB,16,dyad_10,1.000000
All,linguistic+GazexSpeaking,NB,17,triad_08,1.000000
All,linguistic+GazexSpeaking,NB,18,triad_10,1.000000
All,linguistic+GazexSpeaking,NB,19,triad_11,0.000000
All,GazexSpeaking,QDA,0,triad_01,0.692308
All,GazexSpeaking,QDA,1,dyad_03,0.750000
All,GazexSpeaking,QDA,2,dyad_04,0.727273
All,GazexSpeaking,QDA,3,dyad_05,0.727273
All,GazexSpeaking,QDA,4,dyad_07,0.818182
All,GazexSpeaking,QDA,5,triad_06,1.000000
All,GazexSpeaking,QDA,6,triad_05,0.454545
All,GazexSpeaking,QDA,7,triad_13,0.545455
All,GazexSpeaking,QDA,8,triad_14,0.800000
All,GazexSpeaking,QDA,9,dyad_06,0.888889
All,GazexSpeaking,QDA,10,dyad_11,0.555556
All,GazexSpeaking,QDA,11,dyad_02,0.888889
All,GazexSpeaking,QDA,12,triad_07,0.625000
All,GazexSpeaking,QDA,13,triad_09,0.875000
All,GazexSpeaking,QDA,14,triad_12,0.625000
All,GazexSpeaking,QDA,15,triad_02,1.000000
All,GazexSpeaking,QDA,16,dyad_10,1.000000
All,GazexSpeaking,QDA,17,triad_08,1.000000
All,GazexSpeaking,QDA,18,triad_10,0.714286
All,GazexSpeaking,QDA,19,triad_11,0.000000
All,GazexSpeaking,SVM,0,triad_01,0.846154
All,GazexSpeaking,SVM,1,dyad_03,0.750000
All,GazexSpeaking,SVM,2,dyad_04,0.727273
All,GazexSpeaking,SVM,3,dyad_05,0.636364
All,GazexSpeaking,SVM,4,dyad_07,0.818182
All,GazexSpeaking,SVM,5,triad_06,0.909091
All,GazexSpeaking,SVM,6,triad_05,0.363636
All,GazexSpeaking,SVM,7,triad_13,0.545455
All,GazexSpeaking,SVM,8,triad_14,0.800000
All,GazexSpeaking,SVM,9,dyad_06,0.777778
All,GazexSpeaking,SVM,10,dyad_11,0.666667
All,GazexSpeaking,SVM,11,dyad_02,0.777778
All,GazexSpeaking,SVM,12,triad_07,0.750000
All,GazexSpeaking,SVM,13,triad_09,0.875000
All,GazexSpeaking,SVM,14,triad_12,0.625000
All,GazexSpeaking,SVM,15,triad_02,1.000000
All,GazexSpeaking,SVM,16,dyad_10,1.000000
All,GazexSpeaking,SVM,17,triad_08,1.000000
All,GazexSpeaking,SVM,18,triad_10,0.714286
All,GazexSpeaking,SVM,19,triad_11,0.000000
All,GazexSpeaking,LogReg,0,triad_01,0.846154
All,GazexSpeaking,LogReg,1,dyad_03,0.750000
All,GazexSpeaking,LogReg,2,dyad_04,0.545455
All,GazexSpeaking,LogReg,3,dyad_05,0.636364
All,GazexSpeaking,LogReg,4,dyad_07,0.818182
All,GazexSpeaking,LogReg,5,triad_06,0.727273
All,GazexSpeaking,LogReg,6,triad_05,0.363636
All,GazexSpeaking,LogReg,7,triad_13,0.545455
All,GazexSpeaking,LogReg,8,triad_14,0.800000
All,GazexSpeaking,LogReg,9,dyad_06,0.777778
All,GazexSpeaking,LogReg,10,dyad_11,0.555556
All,GazexSpeaking,LogReg,11,dyad_02,0.666667
All,GazexSpeaking,LogReg,12,triad_07,0.750000
All,GazexSpeaking,LogReg,13,triad_09,0.875000
All,GazexSpeaking,LogReg,14,triad_12,0.625000
All,GazexSpeaking,LogReg,15,triad_02,1.000000
All,GazexSpeaking,LogReg,16,dyad_10,0.857143
All,GazexSpeaking,LogReg,17,triad_08,1.000000
All,GazexSpeaking,LogReg,18,triad_10,0.857143
All,GazexSpeaking,LogReg,19,triad_11,0.000000
All,GazexSpeaking,NB,0,triad_01,0.769231
All,GazexSpeaking,NB,1,dyad_03,0.666667
All,GazexSpeaking,NB,2,dyad_04,0.636364
All,GazexSpeaking,NB,3,dyad_05,0.727273
All,GazexSpeaking,NB,4,dyad_07,0.818182
All,GazexSpeaking,NB,5,triad_06,1.000000
All,GazexSpeaking,NB,6,triad_05,0.363636
All,GazexSpeaking,NB,7,triad_13,0.545455
All,GazexSpeaking,NB,8,triad_14,0.800000
All,GazexSpeaking,NB,9,dyad_06,0.888889
All,GazexSpeaking,NB,10,dyad_11,0.444444
All,GazexSpeaking,NB,11,dyad_02,0.888889
All,GazexSpeaking,NB,12,triad_07,0.625000
All,GazexSpeaking,NB,13,triad_09,0.875000
All,GazexSpeaking,NB,14,triad_12,0.625000
All,GazexSpeaking,NB,15,triad_02,1.000000
All,GazexSpeaking,NB,16,dyad_10,1.000000
All,GazexSpeaking,NB,17,triad_08,0.857143
All,GazexSpeaking,NB,18,triad_10,0.714286
All,GazexSpeaking,NB,19,triad_11,0.000000
All,audio+linguistic+GazexSpeaking,QDA,0,triad_01,0.846154
All,audio+linguistic+GazexSpeaking,QDA,1,dyad_03,0.833333
All,audio+linguistic+GazexSpeaking,QDA,2,dyad_04,0.727273
All,audio+linguistic+GazexSpeaking,QDA,3,dyad_05,0.727273
All,audio+linguistic+GazexSpeaking,QDA,4,dyad_07,0.545455
All,audio+linguistic+GazexSpeaking,QDA,5,triad_06,1.000000
All,audio+linguistic+GazexSpeaking,QDA,6,triad_05,0.363636
All,audio+linguistic+GazexSpeaking,QDA,7,triad_13,0.636364
All,audio+linguistic+GazexSpeaking,QDA,8,triad_14,0.800000
All,audio+linguistic+GazexSpeaking,QDA,9,dyad_06,0.888889
All,audio+linguistic+GazexSpeaking,QDA,10,dyad_11,0.555556
All,audio+linguistic+GazexSpeaking,QDA,11,dyad_02,0.888889
All,audio+linguistic+GazexSpeaking,QDA,12,triad_07,0.750000
All,audio+linguistic+GazexSpeaking,QDA,13,triad_09,0.875000
All,audio+linguistic+GazexSpeaking,QDA,14,triad_12,0.875000
All,audio+linguistic+GazexSpeaking,QDA,15,triad_02,1.000000
All,audio+linguistic+GazexSpeaking,QDA,16,dyad_10,1.000000
All,audio+linguistic+GazexSpeaking,QDA,17,triad_08,1.000000
All,audio+linguistic+GazexSpeaking,QDA,18,triad_10,0.857143
All,audio+linguistic+GazexSpeaking,QDA,19,triad_11,0.250000
All,audio+linguistic+GazexSpeaking,SVM,0,triad_01,0.846154
All,audio+linguistic+GazexSpeaking,SVM,1,dyad_03,0.250000
All,audio+linguistic+GazexSpeaking,SVM,2,dyad_04,0.636364
All,audio+linguistic+GazexSpeaking,SVM,3,dyad_05,0.727273
All,audio+linguistic+GazexSpeaking,SVM,4,dyad_07,0.545455
