seconds_interaction_window,triad_01_MG_P1P2,triad_02_MG_P1P2,triad_03_MG_P1P2,triad_04_MG_P1P2,triad_05_MG_P1P2,triad_06_MG_P1P2,triad_07_MG_P1P2,triad_08_MG_P1P2,triad_09_MG_P1P2,triad_10_MG_P1P2,triad_11_MG_P1P2,triad_14_MG_P1P2,triad_12_MG_P1P2,triad_13_MG_P1P2
170.0,0.0,0.0,0.0,0.048458149779735685,0.0,0.0297029702970297,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0
175.0,0.0166270783847981,0.0,0.0,0.0,0.0,0.12709030100334448,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.0
180.0,0.11678832116788322,0.0,0.0,0.03139013452914798,0.1786833855799373,0.0,0.0,0.0,0.0,0.0,0.12062256809338522,0.0,0.0,0.025454545454545455
185.0,0.16461916461916462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17154811715481172,0.0033333333333333335,0.05019305019305019,0.0,0.0,0.0
190.0,0.0,0.0,0.0,0.0,0.10185185185185185,0.0,0.0,0.0,0.22950819672131148,0.06734006734006734,0.0,0.0,0.0,0.0
195.0,0.002403846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8152610441767069,0.01020408163265306,0.0,0.0,0.0,0.0
200.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42338709677419356,0.0,0.0,0.0,0.0,0.0035335689045936395
205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22357723577235772,0.0,0.0,0.0,0.0,0.0
210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41015625,0.0,0.0622568093385214,0.0,0.07552083333333333,0.0
215.0,0.175,0.052763819095477386,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.284,0.046511627906976744,0.09126984126984126,0.0,0.0,0.0
220.0,0.3483709273182957,0.0,0.0,0.0,0.025078369905956112,0.006389776357827476,0.0,0.02214022140221402,0.19047619047619047,0.06785714285714285,0.0,0.0,0.0,0.09157509157509157
