analysis,group_split,target,feature,logreg_std_coef,logreg_abs_coef,rf_importance
window_60s_group_task_engagement_base_all,all,task_engagement,segment_count,-0.46308576997117823,0.46308576997117823,0.04163295144676739
window_60s_group_task_engagement_base_all,all,task_engagement,speaking_seconds,0.40954955171909363,0.40954955171909363,0.05200537881001503
window_60s_group_task_engagement_base_all,all,task_engagement,role_p_green,0.03275243778314926,0.03275243778314926,0.008570140133039816
window_60s_group_task_engagement_base_all,all,task_engagement,role_p_red,-0.11670431712168691,0.11670431712168691,0.006378802693389034
window_60s_group_task_engagement_base_D,D,task_engagement,word_count,0.012355175334503128,0.012355175334503128,0.053059443998233376
window_60s_group_task_engagement_base_D,D,task_engagement,avg_word_length,0.020443537994474778,0.020443537994474778,0.051187621728296426
window_60s_group_task_engagement_base_D,D,task_engagement,words_per_second,0.012355175334503843,0.012355175334503843,0.0522233321201674
window_60s_group_task_engagement_base_D,D,task_engagement,sentiment_role,-0.2947665347725195,0.2947665347725195,0.0679952739008356
window_60s_group_task_engagement_base_D,D,task_engagement,speaking_role,-0.2048546221169718,0.2048546221169718,0.06596612494978317
window_60s_group_task_engagement_base_D,D,task_engagement,arousal,0.979427939337222,0.979427939337222,0.10871166467982146
window_60s_group_task_engagement_base_D,D,task_engagement,dominance,-1.1708772949213038,1.1708772949213038,0.13808754503203435
window_60s_group_task_engagement_base_D,D,task_engagement,valence,0.9275422868054671,0.9275422868054671,0.18949402085929784
window_60s_group_task_engagement_base_D,D,task_engagement,question_rate,-0.25665913213069175,0.25665913213069175,0.07163295530505534
window_60s_group_task_engagement_base_D,D,task_engagement,statement_rate,0.004974223940437046,0.004974223940437046,0.06935465475657362
window_60s_group_task_engagement_base_D,D,task_engagement,segment_count,-0.4472851058537543,0.4472851058537543,0.06801159030813304
