analysis,group_split,feature_modality,target,model,threshold,include_streams,use_pca,n_samples,n_folds,n_low,n_high,acc_mean,acc_std,f1_macro_mean,f1_macro_std,accuracy_pooled,f1_macro_pooled,precision_low,recall_low,f1_low,precision_high,recall_high,f1_high
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,kNN,0.5,False,False,334,12,178,156,0.6951367849652165,0.07700643422458144,0.6612899379789186,0.07008335990219834,0.6856287425149701,0.6812832280637979,0.6871794871794872,0.7528089887640449,0.7184986595174263,0.6834532374100719,0.6089743589743589,0.6440677966101694
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Logistic Regression,0.5,False,False,334,12,178,156,0.6801750491701473,0.08428858605988819,0.6434250170064246,0.09329470358235377,0.6736526946107785,0.6711737343630041,0.6864864864864865,0.7134831460674157,0.699724517906336,0.6577181208053692,0.6282051282051282,0.6426229508196721
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Linear SVM l1,0.5,False,False,334,12,178,156,0.6676481107853657,0.08724952591128106,0.6289776254640553,0.08052723973129179,0.6616766467065869,0.6591067154405456,0.6756756756756757,0.702247191011236,0.6887052341597796,0.6442953020134228,0.6153846153846154,0.6295081967213115
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Linear SVM l2,0.5,False,False,334,12,178,156,0.6893952271403251,0.095793566675829,0.6541394981044072,0.09741612713243632,0.6856287425149701,0.6817228892700591,0.689119170984456,0.7471910112359551,0.7169811320754716,0.6808510638297872,0.6153846153846154,0.6464646464646465
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,SVM linear or rbf,0.5,False,False,334,12,178,156,0.6555024224141871,0.09374348371176883,0.6135403862646762,0.07992506403073735,0.6467065868263473,0.6379304009113291,0.6442307692307693,0.7528089887640449,0.694300518134715,0.6507936507936508,0.5256410256410257,0.5815602836879432
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Decision Tree,0.5,False,False,334,12,178,156,0.6372731979349627,0.08198665141369525,0.5760838495303585,0.12261094692598251,0.6347305389221557,0.632834744999099,0.6555555555555556,0.6629213483146067,0.659217877094972,0.6103896103896104,0.6025641025641025,0.6064516129032258
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Random Forest,0.5,False,False,334,12,178,156,0.6717469757910935,0.10602062888482162,0.621300818997229,0.11069826812764855,0.6616766467065869,0.6594512167612585,0.6775956284153005,0.6966292134831461,0.6869806094182825,0.6423841059602649,0.6217948717948718,0.6319218241042345
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Neural Net,0.5,False,False,334,12,178,156,0.6487194631802475,0.1345845502853392,0.5963841897126061,0.13376172005249673,0.6497005988023952,0.6477269654109311,0.6685082872928176,0.6797752808988764,0.6740947075208914,0.6274509803921569,0.6153846153846154,0.6213592233009708
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,AdaBoost,0.5,False,False,334,12,178,156,0.6746872091234836,0.0949949027603099,0.6249246171960193,0.10177476534639923,0.6676646706586826,0.6651402249017748,0.6810810810810811,0.7078651685393258,0.6942148760330579,0.6510067114093959,0.6217948717948718,0.6360655737704918
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Naive Bayes,0.5,False,False,334,12,178,156,0.7251299354240531,0.08692874896553741,0.6922567561717566,0.10488959193413087,0.7155688622754491,0.7134083005916091,0.7243243243243244,0.7528089887640449,0.7382920110192838,0.7046979865771812,0.6730769230769231,0.6885245901639344
