analysis,group_split,target,model,fold,group,accuracy,f1_macro
segment_individual_engagement_base_D,D,engagement_target,Random Forest,5,dyad_10,0.3275862068965517,0.24675324675324675
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,5,dyad_10,0.3620689655172414,0.26582278481012656
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,6,dyad_05,0.4247787610619469,0.4218811491538764
segment_individual_engagement_base_D,D,engagement_target,QDA,6,dyad_05,0.46017699115044247,0.4300008269246671
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),6,dyad_05,0.4336283185840708,0.33772893772893775
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),6,dyad_05,0.4247787610619469,0.2981366459627329
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,6,dyad_05,0.4247787610619469,0.42459851155503325
segment_individual_engagement_base_D,D,engagement_target,kNN,6,dyad_05,0.4247787610619469,0.35980127255295036
segment_individual_engagement_base_D,D,engagement_target,Random Forest,6,dyad_05,0.46017699115044247,0.4131119625372499
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,6,dyad_05,0.4336283185840708,0.3477633477633477
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,7,dyad_02,0.5,0.48894783377541995
segment_individual_engagement_base_D,D,engagement_target,QDA,7,dyad_02,0.29411764705882354,0.2885789014821273
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),7,dyad_02,0.22058823529411764,0.19964468132356206
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),7,dyad_02,0.16176470588235295,0.14681928241250275
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,7,dyad_02,0.3235294117647059,0.3235294117647059
segment_individual_engagement_base_D,D,engagement_target,kNN,7,dyad_02,0.2647058823529412,0.2543859649122807
segment_individual_engagement_base_D,D,engagement_target,Random Forest,7,dyad_02,0.23529411764705882,0.2245614035087719
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,7,dyad_02,0.2647058823529412,0.2543859649122807
segment_individual_engagement_base_T,T,engagement_target,Baseline Uniform,0,triad_01,0.47368421052631576,0.41538461538461535
segment_individual_engagement_base_T,T,engagement_target,QDA,0,triad_01,0.4780701754385965,0.3983368444395166
segment_individual_engagement_base_T,T,engagement_target,SVM (rbf),0,triad_01,0.7192982456140351,0.5570127504553735
segment_individual_engagement_base_T,T,engagement_target,SVM (linear),0,triad_01,0.706140350877193,0.5065732097289964
segment_individual_engagement_base_T,T,engagement_target,Naive Bayes,0,triad_01,0.5131578947368421,0.43878478767047346
segment_individual_engagement_base_T,T,engagement_target,kNN,0,triad_01,0.5833333333333334,0.4816073522724553
segment_individual_engagement_base_T,T,engagement_target,Random Forest,0,triad_01,0.6622807017543859,0.5236467236467236
segment_individual_engagement_base_T,T,engagement_target,Logistic Regression,0,triad_01,0.7105263157894737,0.5353260869565217
segment_individual_engagement_base_T,T,engagement_target,Baseline Uniform,1,triad_13,0.543859649122807,0.5065847883989346
segment_individual_engagement_base_T,T,engagement_target,QDA,1,triad_13,0.6374269005847953,0.5921052631578947
segment_individual_engagement_base_T,T,engagement_target,SVM (rbf),1,triad_13,0.6900584795321637,0.5637965057515522
