analysis,group_split,target,model,comparison,n_pairs,mean_model,mean_ref,t_stat,p_value,cohen_d,p_value_adj,significant
segment_group_task_engagement_base_D,D,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,8,0.6364253605757627,0.6325306637806637,0.03668692689165883,0.9717589334450139,0.012970787392993535,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,8,0.5193833437028865,0.6325306637806637,-1.854787582273294,0.1060195685133332,-0.6557664385430239,0.7421369795933325,False
segment_group_task_engagement_base_D,D,task_engagement,QDA,vs_carlos_qda_gazespeak,8,0.4963028840913718,0.6325306637806637,-2.287650256956552,0.056001147207096404,-0.8088065048385631,0.3920080304496748,False
segment_group_task_engagement_base_D,D,task_engagement,Random Forest,vs_carlos_qda_gazespeak,8,0.5971760102709666,0.6325306637806637,-0.3856834973590682,0.7111842484669728,-0.13635970818717053,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,8,0.651093764491966,0.6325306637806637,0.16248813974991647,0.8755125671659434,0.057448232739776665,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,8,0.6354479294088221,0.6325306637806637,0.02569047705952515,0.980221258362167,0.009082955270353835,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,kNN,vs_carlos_qda_gazespeak,8,0.5808831950521527,0.6325306637806637,-0.608125543791414,0.5623077470180697,-0.21500484791383284,1.0,False
segment_group_task_engagement_base_T,T,task_engagement,Logistic Regression,vs_baseline_uniform,12,0.7076627765998008,0.5121801233564529,4.097359715404302,0.0017672978971541937,1.1828058673277009,0.012371085280079356,True
segment_group_task_engagement_base_T,T,task_engagement,Naive Bayes,vs_baseline_uniform,12,0.6762204272835487,0.5121801233564529,3.7370072412119377,0.0032832161955353837,1.0787810683386465,0.022982513368747685,True
segment_group_task_engagement_base_T,T,task_engagement,QDA,vs_baseline_uniform,12,0.679184846480696,0.5121801233564529,4.6844116556953725,0.0006667705103566489,1.3522731652053719,0.004667393572496542,True
segment_group_task_engagement_base_T,T,task_engagement,Random Forest,vs_baseline_uniform,12,0.6970500648396475,0.5121801233564529,3.970038203794831,0.002195954483232984,1.146051312827022,0.015371681382630887,True
segment_group_task_engagement_base_T,T,task_engagement,SVM (linear),vs_baseline_uniform,12,0.7351736332588144,0.5121801233564529,4.358745861645556,0.0011386701150344443,1.2582615482751145,0.007970690805241109,True
segment_group_task_engagement_base_T,T,task_engagement,SVM (rbf),vs_baseline_uniform,12,0.7185702015804991,0.5121801233564529,4.032490017571343,0.0019735955208139404,1.1640795985746468,0.013815168645697583,True
segment_group_task_engagement_base_T,T,task_engagement,kNN,vs_baseline_uniform,12,0.6831077065178256,0.5121801233564529,3.5338794311248267,0.004682803608752824,1.0201431204218,0.03277962526126977,True
segment_group_task_engagement_base_T,T,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,12,0.7076627765998008,0.5506639194139195,1.8168870932946715,0.0965529338505018,0.5244901262004176,0.6758705369535126,False
segment_group_task_engagement_base_T,T,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,12,0.6762204272835487,0.5506639194139195,1.6360272761505916,0.13009753956938744,0.4722803941435571,0.9106827769857121,False
segment_group_task_engagement_base_T,T,task_engagement,QDA,vs_carlos_qda_gazespeak,12,0.679184846480696,0.5506639194139195,1.7263101978196764,0.11223093876058421,0.49834282870799307,0.7856165713240895,False
segment_group_task_engagement_base_T,T,task_engagement,Random Forest,vs_carlos_qda_gazespeak,12,0.6970500648396475,0.5506639194139195,1.8303323812438435,0.09440338508864192,0.5283714465088108,0.6608236956204935,False
segment_group_task_engagement_base_T,T,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,12,0.7351736332588144,0.5506639194139195,2.0954616544801303,0.06007035775224447,0.604907675145321,0.42049250426571133,False
segment_group_task_engagement_base_T,T,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,12,0.7185702015804991,0.5506639194139195,1.892370231162541,0.0850409623313026,0.5462802311840638,0.5952867363191181,False
segment_group_task_engagement_base_T,T,task_engagement,kNN,vs_carlos_qda_gazespeak,12,0.6831077065178256,0.5506639194139195,1.5122033165596536,0.15866757505861784,0.43653549594258034,1.0,False
segment_group_task_engagement_base_all,all,task_engagement,Logistic Regression,vs_baseline_uniform,20,0.7036463476479868,0.5042711448632008,4.723404659205684,0.00014790293182757086,1.0561853903223137,0.001035320522792996,True
segment_group_task_engagement_base_all,all,task_engagement,Naive Bayes,vs_baseline_uniform,20,0.5890380361175043,0.5042711448632008,4.272575173487481,0.0004112942386079625,0.9553768526895965,0.002879059670255738,True
segment_group_task_engagement_base_all,all,task_engagement,QDA,vs_baseline_uniform,20,0.608158808979625,0.5042711448632008,6.096512336586147,7.3201476318625134e-06,1.3632216010272704,5.124103342303759e-05,True
segment_group_task_engagement_base_all,all,task_engagement,Random Forest,vs_baseline_uniform,20,0.6879010531711717,0.5042711448632008,4.917131072114424,9.568798728124666e-05,1.0995039331524272,0.0006698159109687266,True
